Ref,Val,Package,PosX,PosY,Rot,Side
"J11","Conn_01x02_Male","AMASS_XT60-M_1x02_P7.20mm_Vertical",-47.500000,23.600000,-90.000000,bottom
"J12","Conn_01x08_Male","MPU-6050-Module",-18.275000,7.000000,90.000000,bottom
"R3","Raspberry_Pi_2_3","PinSocket_2x20_P2.54mm_Vertical",-34.080000,-23.350000,90.000000,bottom
